Month,Import_Country,Import_Continent,US_Dollar_Value,Tonnes,Data_Type,Year
Oct,Austria,Europe,"12,50,012.79",752.5251,Actual,2015
Nov,Austria,Europe,"8,07,914.21",509.1749,Actual,2015
Nov,Bangladesh,Asia,"14,01,996.00","1,004.09",Actual,2015
Mar,Belgium,Europe,"4,27,815.52",200.6436,Actual,2015
May,Belgium,Europe,"55,272.19",25.1429,Actual,2015
Jun,Belgium,Europe,"1,37,379.17",74.9058,Actual,2015
Aug,Belgium,Europe,"3,00,370.98",175.8006,Actual,2015
Sep,Belgium,Europe,"1,26,779.48",75.5239,Actual,2015
Oct,Belgium,Europe,"85,312.22",49.8809,Actual,2015
Nov,Belgium,Europe,"5,01,365.44",300.9233,Actual,2015
Jan,Botswana,Africa,"8,725.41",61.1798,Actual,2015
Feb,Botswana,Africa,"7,271.14",50.5795,Actual,2015
Mar,Botswana,Africa,"4,379.43",30.5001,Actual,2015
Apr,Botswana,Africa,"6,936.54",50.6595,Actual,2015
May,Botswana,Africa,"4,118.01",30.3904,Actual,2015
Jun,Botswana,Africa,"6,277.62",45.6931,Actual,2015
Jul,Botswana,Africa,"11,409.07",79.9353,Actual,2015
Oct,Botswana,Africa,"75,975.28",20.355,Actual,2015
Nov,Botswana,Africa,"5,152.49",40.6122,Actual,2015
May,Brazil,Latin America,"41,32,786.66","1,934.91",Actual,2015
Jun,Brazil,Latin America,"8,25,200.79",336.8852,Actual,2015
Jul,Brazil,Latin America,"4,74,219.03",223.2038,Actual,2015
Dec,Brazil,Latin America,"5,88,218.53",330.4395,Actual,2015
Jan,China,Asia,"1,06,955.01",42.929,Actual,2015
Feb,China,Asia,"28,740.81",8.5632,Actual,2015
Apr,China,Asia,"32,013.29",9.6336,Actual,2015
Jun,China,Asia,"10,253.67",8.5632,Actual,2015
Jul,China,Asia,"27,743.22",8.5632,Actual,2015
Aug,China,Asia,"28,399.77",9.3895,Actual,2015
Sep,China,Asia,"8,651.05",8.5632,Actual,2015
Oct,China,Asia,"29,517.10",8.9914,Actual,2015
Nov,China,Asia,"6,169.08",4.4957,Actual,2015
Jan,Czech Rep.,Europe,"2,27,314.00",97.032,Actual,2015
Feb,Czech Rep.,Europe,"3,51,819.00",147.138,Actual,2015
Apr,Czech Rep.,Europe,"1,09,042.00",50.311,Actual,2015
Nov,Czech Rep.,Europe,"1,95,874.00",100.236,Actual,2015
Jan,France,Europe,"1,71,497.55",78.3355,Actual,2015
Feb,France,Europe,"1,30,422.61",68.5118,Actual,2015
Apr,France,Europe,"88,255.65",42.9113,Actual,2015
May,France,Europe,"1,55,586.28",69.2432,Actual,2015
Jun,France,Europe,"34,09,240.90","1,693.41",Actual,2015
Jul,France,Europe,"10,01,587.78",511.2784,Actual,2015
Aug,France,Europe,"11,52,593.56",582.7159,Actual,2015
Sep,France,Europe,"10,82,296.70",621.8481,Actual,2015
Oct,France,Europe,"11,50,151.97",625.0177,Actual,2015
Nov,France,Europe,"7,82,873.92",434.2148,Actual,2015
Dec,France,Europe,"4,87,609.08",278.4358,Actual,2015
Feb,Gabon,Africa,"41,854.40",11.4945,Actual,2015
Mar,Gabon,Africa,"27,818.60",5.0755,Actual,2015
Apr,Germany,Europe,"39,38,090.71","1,806.90",Actual,2015
May,Germany,Europe,"31,46,591.74","1,499.43",Actual,2015
Jun,Germany,Europe,"21,92,910.02","1,117.49",Actual,2015
Jul,Germany,Europe,"55,95,770.27","2,694.53",Actual,2015
Aug,Germany,Europe,"9,42,358.58",447.1034,Actual,2015
Sep,Germany,Europe,"5,26,843.79",222.6501,Actual,2015
Oct,Germany,Europe,"40,11,421.95","2,347.26",Actual,2015
Nov,Germany,Europe,"34,75,453.95","1,939.74",Actual,2015
Jan,Hong Kong,Asia,"24,73,868.33","1,052.38",Actual,2015
Feb,Hong Kong,Asia,"34,94,222.68","1,477.26",Actual,2015
Mar,Hong Kong,Asia,"52,57,993.82","2,423.63",Actual,2015
Apr,Hong Kong,Asia,"30,41,156.78","1,473.81",Actual,2015
May,Hong Kong,Asia,"9,86,411.05",526.8626,Actual,2015
Jun,Hong Kong,Asia,"67,16,123.78","3,056.34",Actual,2015
Jul,Hong Kong,Asia,"32,03,856.51","1,473.48",Actual,2015
Aug,Hong Kong,Asia,"15,85,530.96",945.2338,Actual,2015
Sep,Hong Kong,Asia,"32,79,816.95","2,002.03",Actual,2015
Oct,Hong Kong,Asia,"8,51,571.63",526.3525,Actual,2015
Nov,Hong Kong,Asia,"17,22,948.51","1,073.29",Actual,2015
Oct,Hungary,Europe,"16,40,682.42",986.9225,Actual,2015
Nov,Hungary,Europe,"32,90,654.58","1,995.75",Actual,2015
Jan,India,Asia,"4,83,556.93",208.6966,Actual,2015
Feb,India,Asia,"3,68,728.73",153.8304,Actual,2015
Mar,India,Asia,"3,68,288.23",153.8304,Actual,2015
Apr,India,Asia,"13,23,169.37",619.5008,Actual,2015
May,India,Asia,"22,78,050.50","1,085.17",Actual,2015
Jun,India,Asia,"29,59,161.38","1,335.25",Actual,2015
Jul,India,Asia,"8,35,956.75",433.4901,Actual,2015
Aug,India,Asia,"9,39,567.06",461.2585,Actual,2015
Sep,India,Asia,"36,93,435.25","1,952.33",Actual,2015
Oct,India,Asia,"19,15,666.81","1,057.33",Actual,2015
Nov,India,Asia,"1,35,78,024.56","7,948.93",Actual,2015
Dec,India,Asia,"1,14,26,006.45","6,635.22",Actual,2015
Feb,Indonesia,Asia,"6,35,297.00",302.109,Actual,2015
Mar,Indonesia,Asia,"11,68,669.00",590.848,Actual,2015
Apr,Indonesia,Asia,"10,98,967.00",611.184,Actual,2015
May,Indonesia,Asia,"5,05,100.00",301.333,Actual,2015
Jun,Indonesia,Asia,"5,93,913.00",300.877,Actual,2015
Jul,Indonesia,Asia,"11,67,413.00",599.69,Actual,2015
Aug,Indonesia,Asia,"8,95,276.00",602.82,Actual,2015
Sep,Indonesia,Asia,"11,76,773.00",801.613,Actual,2015
Oct,Indonesia,Asia,"4,46,698.00",300.543,Actual,2015
Nov,Indonesia,Asia,"8,52,487.00",600.812,Actual,2015
Jan,Italy,Europe,"15,12,358.39",807.0098,Actual,2015
Feb,Italy,Europe,"63,933.77",29.0538,Actual,2015
Mar,Italy,Europe,"8,63,952.74",449.9966,Actual,2015
Apr,Italy,Europe,"7,45,725.25",367.6542,Actual,2015
Jun,Italy,Europe,"51,40,819.16","2,748.69",Actual,2015
Jul,Italy,Europe,"41,58,291.04","2,378.66",Actual,2015
Aug,Italy,Europe,"4,53,241.11",281.2358,Actual,2015
Oct,Italy,Europe,"2,68,275.84",168.1987,Actual,2015
Nov,Italy,Europe,"2,33,562.27",168.5677,Actual,2015
Dec,Italy,Europe,"86,163.42",56.4996,Actual,2015
Jan,Japan,Asia,"2,69,60,253.20","11,153.93",Actual,2015
Feb,Japan,Asia,"3,84,73,357.50","16,200.53",Actual,2015
Mar,Japan,Asia,"3,30,79,577.88","14,754.41",Actual,2015
Apr,Japan,Asia,"1,97,54,416.49","8,853.03",Actual,2015
May,Japan,Asia,"3,83,18,459.28","17,328.28",Actual,2015
Jun,Japan,Asia,"5,28,64,718.88","24,601.26",Actual,2015
Jul,Japan,Asia,"2,66,16,419.05","12,088.15",Actual,2015
Aug,Japan,Asia,"57,29,212.82","2,772.50",Actual,2015
Sep,Japan,Asia,"2,52,40,774.53","12,479.14",Actual,2015
Oct,Japan,Asia,"84,28,429.56","4,843.17",Actual,2015
Nov,Japan,Asia,"98,39,236.51","5,896.57",Actual,2015
Dec,Japan,Asia,"1,49,12,422.31","9,251.53",Actual,2015
Feb,Kenya,Africa,"18,34,295.72",688.4008,Actual,2015
Apr,Kenya,Africa,"20,23,445.32",813.5646,Actual,2015
May,Kenya,Africa,"9,61,843.88",376.3775,Actual,2015
Jun,Kenya,Africa,"15,54,639.41",625.8189,Actual,2015
Jul,Kenya,Africa,"12,52,242.95",500.6551,Actual,2015
Aug,Kenya,Africa,"4,01,715.94",219.0366,Actual,2015
Sep,Kenya,Africa,"7,27,734.81",375.4913,Actual,2015
Oct,Kenya,Africa,"6,91,006.42",375.4913,Actual,2015
Nov,Kenya,Africa,"2,31,334.55",125.1638,Actual,2015
May,Madagascar,Africa,"4,901.00",1.5,Actual,2015
Jan,Malaysia,Asia,"17,35,558.02",758.6291,Actual,2015
Feb,Malaysia,Asia,"26,70,198.27","1,129.24",Actual,2015
Mar,Malaysia,Asia,"7,47,554.42",337.7744,Actual,2015
Apr,Malaysia,Asia,"20,34,984.54",849.1973,Actual,2015
May,Malaysia,Asia,"24,87,198.42","1,125.50",Actual,2015
Jun,Malaysia,Asia,"30,04,518.61","1,364.73",Actual,2015
Jul,Malaysia,Asia,"12,64,810.09",563.3735,Actual,2015
Aug,Malaysia,Asia,"21,08,446.17","1,032.32",Actual,2015
Sep,Malaysia,Asia,"15,31,317.87",912.1028,Actual,2015
Oct,Malaysia,Asia,"15,46,960.04",912.1028,Actual,2015
Nov,Malaysia,Asia,"21,10,107.72","1,241.48",Actual,2015
Dec,Malaysia,Asia,"27,58,578.82","1,689.56",Actual,2015
Jan,Mexico,Latin America,"11,90,975.00",530.4777,Actual,2015
Feb,Mexico,Latin America,"13,40,781.00",570.0566,Actual,2015
Mar,Mexico,Latin America,"5,53,569.00",239.7958,Actual,2015
Apr,Mexico,Latin America,"20,57,444.00",898.7819,Actual,2015
May,Mexico,Latin America,"28,61,288.00","1,218.73",Actual,2015
Jun,Mexico,Latin America,"24,84,383.00","1,151.82",Actual,2015
Jul,Mexico,Latin America,"16,14,604.00",729.7652,Actual,2015
Aug,Mexico,Latin America,"6,62,151.00",308.4081,Actual,2015
Sep,Mexico,Latin America,"38,41,951.00","1,998.67",Actual,2015
Oct,Mexico,Latin America,"44,99,746.00","2,377.95",Actual,2015
Nov,Mexico,Latin America,"6,09,275.00",308.2366,Actual,2015
Mar,Mozambique,Africa,"1,078.35",0.783,Actual,2015
Sep,Mozambique,Africa,769.6464,1.117,Actual,2015
Jan,Namibia,Africa,"41,257.00",18.241,Actual,2015
Jan,Netherlands,Europe,"23,06,824.18","1,458.60",Actual,2015
Feb,Netherlands,Europe,"5,77,007.33",359,Actual,2015
Mar,Netherlands,Europe,"40,20,304.52","2,317.10",Actual,2015
Apr,Netherlands,Europe,"52,01,250.04","2,885.20",Actual,2015
May,Netherlands,Europe,"45,93,724.43","2,738.00",Actual,2015
Jun,Netherlands,Europe,"64,39,540.47","4,438.90",Actual,2015
Jul,Netherlands,Europe,"48,62,223.00","3,221.70",Actual,2015
Aug,Netherlands,Europe,"29,03,875.79","1,900.10",Actual,2015
Sep,Netherlands,Europe,"71,88,633.50","5,181.30",Actual,2015
Oct,Netherlands,Europe,"32,78,181.87","2,445.80",Actual,2015
Nov,Netherlands,Europe,"48,03,680.90","3,616.60",Actual,2015
Dec,Netherlands,Europe,"11,02,761.06",827.1,Actual,2015
Aug,Nigeria,Africa,"96,408.91",1.6669,Actual,2015
Sep,Nigeria,Africa,"12,835.15",0.3509,Actual,2015
Nov,Nigeria,Africa,"3,43,334.94",43.9822,Actual,2015
Jan,Norway,Europe,"42,30,707.32","1,847.63",Actual,2015
Feb,Norway,Europe,"4,53,615.82",200.478,Actual,2015
Mar,Norway,Europe,"16,13,210.54",734.869,Actual,2015
May,Norway,Europe,"12,04,576.39",607.889,Actual,2015
Jun,Norway,Europe,"21,09,007.46","1,112.07",Actual,2015
Jul,Norway,Europe,"15,80,996.18",832.156,Actual,2015
Aug,Norway,Europe,"93,694.71",50.052,Actual,2015
Sep,Norway,Europe,"13,96,696.73",773.836,Actual,2015
Oct,Norway,Europe,"8,47,240.35",511.087,Actual,2015
Nov,Norway,Europe,"68,68,210.43","4,091.61",Actual,2015
Dec,Norway,Europe,"12,36,568.05",726.443,Actual,2015
Jun,Pakistan,Asia,"99,666.02",333.3042,Actual,2015
Aug,Pakistan,Asia,"45,179.89",166.2914,Actual,2015
Oct,Pakistan,Asia,"86,856.05",358.0461,Actual,2015
Nov,Pakistan,Asia,"43,395.04",182.3583,Actual,2015
Apr,Papua New Guinea,Oceania,"25,707.61",17.4129,Actual,2015
May,Papua New Guinea,Oceania,"23,122.68",17.4129,Actual,2015
Jun,Papua New Guinea,Oceania,"71,742.42",50.4975,Actual,2015
Jul,Papua New Guinea,Oceania,"33,422.40",24.204,Actual,2015
Aug,Papua New Guinea,Oceania,"20,398.67",17.4129,Actual,2015
Sep,Papua New Guinea,Oceania,"14,967.22",13.0597,Actual,2015
Jul,Poland,Europe,"45,292.00",23.845,Actual,2015
Aug,Poland,Europe,"46,087.00",25.059,Actual,2015
Sep,Poland,Europe,"46,501.00",24.936,Actual,2015
Oct,Poland,Europe,"89,382.00",50.036,Actual,2015
Jun,Portugal,Europe,"5,57,597.79",265.54,Actual,2015
Jul,Portugal,Europe,"2,50,068.21",120.86,Actual,2015
Aug,Portugal,Europe,"2,56,304.00",120.7,Actual,2015
Jan,Singapore,Asia,"51,916.11",9.4291,Actual,2015
Apr,Singapore,Asia,"19,252.10",9.4291,Actual,2015
May,Singapore,Asia,"36,050.03",18.8582,Actual,2015
Jun,Singapore,Asia,"51,742.09",9.4366,Actual,2015
Aug,Singapore,Asia,"19,407.52",10.372,Actual,2015
Sep,Singapore,Asia,"17,505.95",9.4291,Actual,2015
Oct,Singapore,Asia,"63,316.20",18.8582,Actual,2015
Nov,Singapore,Asia,"92,642.01",38.1878,Actual,2015
Jul,Slovenia,Europe,"2,38,211.00",125.268,Actual,2015
Oct,Slovenia,Europe,"3,59,093.00",200.753,Actual,2015
Nov,Slovenia,Europe,"5,12,417.00",300.977,Actual,2015
Jul,South Africa,Africa,"8,439.64",4.8387,Actual,2015
Nov,South Africa,Africa,"33,106.36",20.1613,Actual,2015
Jan,South Korea,Asia,"48,66,920.02","3,008.05",Estimate,2015
Feb,South Korea,Asia,"51,10,728.74","2,840.34",Estimate,2015
Mar,South Korea,Asia,"53,54,537.47","2,954.07",Estimate,2015
Apr,South Korea,Asia,"55,98,346.19","3,045.50",Estimate,2015
May,South Korea,Asia,"58,42,154.91","3,057.62",Estimate,2015
Jun,South Korea,Asia,"60,85,963.64","3,206.09",Estimate,2015
Jul,South Korea,Asia,"63,29,772.36","3,186.70",Estimate,2015
Aug,South Korea,Asia,"65,73,581.09","2,869.65",Estimate,2015
Sep,South Korea,Asia,"68,17,389.81","3,084.89",Estimate,2015
Oct,South Korea,Asia,"70,61,198.53","3,327.77",Estimate,2015
Nov,South Korea,Asia,"73,05,007.26","2,892.20",Estimate,2015
Dec,South Korea,Asia,"75,48,815.98","2,669.25",Estimate,2015
Jan,Spain,Europe,"6,98,491.82",313.7958,Actual,2015
Feb,Spain,Europe,"4,46,108.84",192.7974,Actual,2015
Mar,Spain,Europe,"2,80,160.66",120.9984,Actual,2015
Apr,Spain,Europe,"2,22,233.49",96.4987,Actual,2015
May,Spain,Europe,"11,54,251.86",531.1928,Actual,2015
Jun,Spain,Europe,"13,17,137.29",675.2909,Actual,2015
Jul,Spain,Europe,"14,41,213.95",699.6905,Actual,2015
Aug,Spain,Europe,"21,10,809.18",868.4882,Actual,2015
Oct,Spain,Europe,"5,99,337.08",383.4948,Actual,2015
Nov,Spain,Europe,"19,98,607.52","1,248.69",Actual,2015
Dec,Spain,Europe,"5,48,546.31",336.2954,Actual,2015
Jan,Switzerland,Europe,"52,21,700.51","2,186.31",Actual,2015
Feb,Switzerland,Europe,"1,06,53,999.85","4,512.18",Actual,2015
Apr,Switzerland,Europe,"1,07,07,051.98","4,880.25",Actual,2015
May,Switzerland,Europe,"1,44,10,037.66","6,582.31",Actual,2015
Jun,Switzerland,Europe,"87,74,106.55","4,370.17",Actual,2015
Jul,Switzerland,Europe,"40,15,478.62","2,183.84",Actual,2015
Aug,Switzerland,Europe,"62,31,504.80","3,585.81",Actual,2015
Sep,Switzerland,Europe,"86,73,849.35","4,782.42",Actual,2015
Oct,Switzerland,Europe,"1,36,26,713.83","7,883.28",Actual,2015
Nov,Switzerland,Europe,"86,49,716.30","5,141.26",Actual,2015
Dec,Switzerland,Europe,"57,27,331.55","3,300.35",Actual,2015
Mar,Taiwan,Asia,"56,22,258.54","2,686.88",Actual,2015
Jun,Taiwan,Asia,"6,87,037.01",335.7073,Actual,2015
Jul,Taiwan,Asia,"5,38,623.85",266.8712,Actual,2015
Aug,Taiwan,Asia,"54,424.37",28.8144,Actual,2015
Nov,Taiwan,Asia,"3,21,846.23",216.6082,Actual,2015
Jan,Thailand,Asia,"42,91,929.91","3,587.91",Actual,2015
Feb,Thailand,Asia,"40,71,707.22","3,602.22",Actual,2015
Mar,Thailand,Asia,"57,05,243.19","2,530.15",Estimate,2015
Apr,Thailand,Asia,"58,51,610.86","2,608.46",Estimate,2015
May,Thailand,Asia,"59,97,978.52","2,618.84",Estimate,2015
Jun,Thailand,Asia,"61,44,346.19","2,746.01",Estimate,2015
Jul,Thailand,Asia,"62,90,713.85","2,729.40",Estimate,2015
Aug,Thailand,Asia,"64,37,081.52","2,457.85",Estimate,2015
Sep,Thailand,Asia,"65,83,449.19","2,642.20",Estimate,2015
Oct,Thailand,Asia,"67,29,816.85","2,850.23",Estimate,2015
Nov,Thailand,Asia,"68,76,184.52","2,477.17",Estimate,2015
Dec,Thailand,Asia,"70,22,552.18","2,286.20",Estimate,2015
Jan,Turkey,Asia,"81,62,306.63","3,581.72",Actual,2015
Feb,Turkey,Asia,"94,96,107.43","4,202.84",Actual,2015
Mar,Turkey,Asia,"91,58,416.80","4,173.24",Actual,2015
Apr,Turkey,Asia,"99,01,463.68","4,599.51",Actual,2015
May,Turkey,Asia,"52,02,818.77","2,528.59",Actual,2015
Jun,Turkey,Asia,"1,27,03,283.91","6,610.18",Actual,2015
Jul,Turkey,Asia,"1,79,87,911.17","9,364.51",Actual,2015
Aug,Turkey,Asia,"2,31,25,962.57","12,357.36",Actual,2015
Sep,Turkey,Asia,"1,03,396.04",60.2934,Actual,2015
Mar,Ukraine,Europe,"7,633.22",3.0498,Estimate,2015
Apr,Ukraine,Europe,"7,869.46",3.1441,Estimate,2015
May,Ukraine,Europe,"7,900.78",3.1567,Estimate,2015
Jun,Ukraine,Europe,"8,284.42",3.3099,Estimate,2015
Jul,Ukraine,Europe,"8,234.34",3.2899,Estimate,2015
Aug,Ukraine,Europe,"7,415.07",2.9626,Estimate,2015
Sep,Ukraine,Europe,"7,971.26",3.1848,Estimate,2015
Oct,Ukraine,Europe,"8,598.86",3.4356,Estimate,2015
Nov,Ukraine,Europe,"7,473.35",2.9859,Estimate,2015
Dec,Ukraine,Europe,"6,897.24",2.7557,Estimate,2015
Jan,United Kingdom,Europe,"64,04,383.11","2,562.58",Actual,2015
Mar,United Kingdom,Europe,"46,94,917.49","2,025.35",Actual,2015
Apr,United Kingdom,Europe,"92,12,179.89","4,005.36",Actual,2015
Jun,United Kingdom,Europe,"17,57,674.86",974.3817,Actual,2015
Sep,United Kingdom,Europe,"31,49,541.66","1,969.37",Actual,2015
Feb,Viet Nam,Asia,"10,31,994.82",498.7624,Actual,2015
Mar,Viet Nam,Asia,"10,89,692.57",592.4271,Actual,2015
Apr,Viet Nam,Asia,"2,07,983.47",125.4235,Actual,2015
May,Viet Nam,Asia,"10,36,583.16",628.6667,Actual,2015
Jun,Viet Nam,Asia,"13,29,097.86",690.599,Actual,2015
Jul,Viet Nam,Asia,"19,01,776.16","1,001.99",Actual,2015
Aug,Viet Nam,Asia,"11,69,672.04",816.9021,Actual,2015
Sep,Viet Nam,Asia,"26,22,225.81","1,880.51",Actual,2015
Nov,Viet Nam,Asia,"25,89,601.10","1,882.88",Actual,2015
Jan,Zambia,Africa,"6,243.84",2.9621,Actual,2015
Feb,Zambia,Africa,"21,680.06",5.869,Actual,2015
Jun,Zambia,Africa,"57,852.01",29.6974,Actual,2015
Aug,Zambia,Africa,"55,445.09",32.5835,Actual,2015
Jan,Austria,Europe,"8,14,956.00",499.1,Actual,2016
Apr,Austria,Europe,"12,54,071.00",771.8,Actual,2016
Jun,Austria,Europe,"8,27,106.00",500.9,Actual,2016
Sep,Austria,Europe,"8,82,810.09",158.7249,Estimate,2016
Oct,Austria,Europe,"8,67,510.73",154.5978,Estimate,2016
Nov,Austria,Europe,"8,52,211.37",150.4706,Estimate,2016
Dec,Austria,Europe,"8,36,912.01",146.3435,Estimate,2016
Sep,Bahrain,Asia,"35,751.00",25.34,Actual,2016
Oct,Bahrain,Asia,"29,657.00",20,Actual,2016
